id,study,effect_size_id,species,species_id,subphylum,phylum,assortment_trait,trait_dimensions,field_collection,publication_year,pooled_data,spatially_pooled,temporally_pooled,yi,ni,vi
Bernstein and Bernstein 2003 - Chauliognathus arizonensis,Bernstein and Bernstein 2003,131,Chauliognathus arizonensis,Chauliognathus_arizonensis_ott3413984,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.28,15,0.066666667
Bernstein and Bernstein 2003 - Chauliognathus arizonensis,Bernstein and Bernstein 2003,132,Chauliognathus arizonensis,Chauliognathus_arizonensis_ott3413984,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,-0.14,50,0.02
Bernstein and Bernstein 2003 - Chauliognathus arizonensis,Bernstein and Bernstein 2003,133,Chauliognathus arizonensis,Chauliognathus_arizonensis_ott3413984,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.25,27,0.037037037
Bernstein and Bernstein 2003 - Chauliognathus arizonensis,Bernstein and Bernstein 2003,134,Chauliognathus arizonensis,Chauliognathus_arizonensis_ott3413984,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.04,52,0.019230769
Bernstein and Bernstein 2003 - Chauliognathus basalis,Bernstein and Bernstein 2003,135,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.18,51,0.019607843
Bernstein and Bernstein 2003 - Chauliognathus scutellaris,Bernstein and Bernstein 2003,136,Chauliognathus scutellaris,Chauliognathus_scutellaris_ott3413954,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,-0.11,26,0.038461538
Bernstein and Bernstein 2003 - Chauliognathus basalis,Bernstein and Bernstein 2003,137,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.15,21,0.047619048
Bernstein and Bernstein 2003 - Chauliognathus scutellaris,Bernstein and Bernstein 2003,138,Chauliognathus scutellaris,Chauliognathus_scutellaris_ott3413954,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.75,15,0.066666667
Bernstein and Bernstein 2003 - Chauliognathus basalis,Bernstein and Bernstein 2003,139,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.12,19,0.052631579
Bernstein and Bernstein 2003 - Chauliognathus scutellaris,Bernstein and Bernstein 2003,140,Chauliognathus scutellaris,Chauliognathus_scutellaris_ott3413954,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,-0.06,30,0.033333333
Bernstein and Bernstein 2003 - Chauliognathus basalis,Bernstein and Bernstein 2003,141,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.15,40,0.025
Bernstein and Bernstein 2003 - Chauliognathus scutellaris,Bernstein and Bernstein 2003,142,Chauliognathus scutellaris,Chauliognathus_scutellaris_ott3413954,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.18,40,0.025
Bernstein and Bernstein 2003 - Chauliognathus basalis,Bernstein and Bernstein 2003,143,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.07,80,0.0125
Bernstein and Bernstein 2003 - Chauliognathus scutellaris,Bernstein and Bernstein 2003,144,Chauliognathus scutellaris,Chauliognathus_scutellaris_ott3413954,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.38,26,0.038461538
Bernstein and Bernstein 2003 - Chauliognathus basalis,Bernstein and Bernstein 2003,145,Chauliognathus basalis,Chauliognathus_basalis_ott3413950,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,-0.01,50,0.02
Bernstein and Bernstein 2003 - Chauliognathus scutellaris,Bernstein and Bernstein 2003,146,Chauliognathus scutellaris,Chauliognathus_scutellaris_ott3413954,Insecta,Arthropoda,elytron length,uni,yes,2003,no,no,no,0.07,24,0.041666667
Berven 1981 - Rana sylvatica,Berven 1981,147,Rana sylvatica,Rana_sylvatica_ott4133610,Amphibia,Chordata,snout-ischium length,uni,no,1981,no,no,no,0.46,21,0.047619048
Berven 1981 - Rana sylvatica,Berven 1981,148,Rana sylvatica,Rana_sylvatica_ott4133610,Amphibia,Chordata,snout-ischium length,uni,no,1981,no,no,no,0.21,22,0.045454545
Berven 1981 - Rana sylvatica,Berven 1981,149,Rana sylvatica,Rana_sylvatica_ott4133610,Amphibia,Chordata,snout-ischium length,uni,no,1981,no,no,no,0.18,24,0.041666667
Berven 1981 - Rana sylvatica,Berven 1981,150,Rana sylvatica,Rana_sylvatica_ott4133610,Amphibia,Chordata,snout-ischium length,uni,no,1981,no,no,no,0.17,34,0.029411765
Berven 1981 - Rana sylvatica,Berven 1981,151,Rana sylvatica,Rana_sylvatica_ott4133610,Amphibia,Chordata,snout-ischium length,uni,no,1981,no,no,no,0.06,23,0.043478261
Berven 1981 - Rana sylvatica,Berven 1981,152,Rana sylvatica,Rana_sylvatica_ott4133610,Amphibia,Chordata,snout-ischium length,uni,no,1981,no,no,no,0.34,16,0.0625
Berven 1981 - Rana sylvatica,Berven 1981,153,Rana sylvatica,Rana_sylvatica_ott4133610,Amphibia,Chordata,snout-ischium length,uni,yes,1981,no,no,no,0.4,99,0.01010101
Berven 1981 - Rana sylvatica,Berven 1981,154,Rana sylvatica,Rana_sylvatica_ott4133610,Amphibia,Chordata,snout-ischium length,uni,yes,1981,no,no,no,0.22,83,0.012048193
Berven 1981 - Rana sylvatica,Berven 1981,155,Rana sylvatica,Rana_sylvatica_ott4133610,Amphibia,Chordata,snout-ischium length,uni,yes,1981,no,no,no,0.28,38,0.026315789
Berzins et al. 2009 - Cepphus grylle,Berzins et al. 2009,156,Cepphus grylle,Cepphus_grylle_grylle_ott544140,Aves,Chordata,head plus bill,uni,yes,2009,no,no,no,0.36,20,0.05
Berzins et al. 2009 - Cepphus grylle,Berzins et al. 2009,157,Cepphus grylle,Cepphus_grylle_grylle_ott544140,Aves,Chordata,weight,uni,yes,2009,no,no,no,0.2,9,0.111111111
Berzins et al. 2009 - Cepphus grylle,Berzins et al. 2009,158,Cepphus grylle,Cepphus_grylle_grylle_ott544140,Aves,Chordata,wing length,uni,yes,2009,no,no,no,0.12,20,0.05
Berzins et al. 2009 - Cepphus grylle,Berzins et al. 2009,159,Cepphus grylle,Cepphus_grylle_grylle_ott544140,Aves,Chordata,tarsus length,uni,yes,2009,no,no,no,-0.06,20,0.05
Berzins et al. 2009 - Cepphus grylle,Berzins et al. 2009,160,Cepphus grylle,Cepphus_grylle_grylle_ott544140,Aves,Chordata,culmen,uni,yes,2009,no,no,no,-0.18,20,0.05
Berzins et al. 2009 - Cepphus grylle,Berzins et al. 2009,161,Cepphus grylle,Cepphus_grylle_grylle_ott544140,Aves,Chordata,bill depth,uni,yes,2009,no,no,no,-0.3,20,0.05
Bionda et al. 2011 - Rhinella arenarum,Bionda et al. 2011,162,Rhinella arenarum,Rhinella_arenarum_ott522417,Amphibia,Chordata,snout-vent length,uni,yes,2011,yes,no,yes,0.683,20,0.05
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,163,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.47,48,0.020833333
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,164,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.25,46,0.02173913
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,165,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.54,46,0.02173913
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,166,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.32,54,0.018518519
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,167,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.34,53,0.018867925
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,168,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.26,50,0.02
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,169,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.36,44,0.022727273
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,170,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.46,45,0.022222222
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,171,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.136,14,0.071428571
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,172,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.631,12,0.083333333
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,173,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,-0.303,7,0.142857143
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,174,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.771,6,0.166666667
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,175,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.52,14,0.071428571
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,176,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.287,5,0.2
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,177,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.618,15,0.066666667
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,178,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.431,7,0.142857143
Birkhead and Clarkson 1980 - Gammarus pulex,Birkhead and Clarkson 1980,179,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,1980,no,no,no,0.382,9,0.111111111
Boag 1983 - Geospiza fortis,Boag 1983,180,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill width,uni,yes,1983,no,no,no,0.41,40,0.025
Boag 1983 - Geospiza fortis,Boag 1983,181,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,tarsus length,uni,yes,1983,no,no,no,0.38,40,0.025
Boag 1983 - Geospiza fortis,Boag 1983,182,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill depth,uni,yes,1983,no,no,no,0.35,40,0.025
Boag 1983 - Geospiza fortis,Boag 1983,183,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill length 1,uni,yes,1983,no,no,no,0.3,40,0.025
Boag 1983 - Geospiza fortis,Boag 1983,184,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,weight,uni,yes,1983,no,no,no,0.14,40,0.025
Boag 1983 - Geospiza fortis,Boag 1983,185,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,wing length,uni,yes,1983,no,no,no,-0.06,40,0.025
Boag 1983 - Geospiza fortis,Boag 1983,186,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill length 2,uni,yes,1983,no,no,no,-0.1,40,0.025
Boag 1983 - Geospiza fortis,Boag 1983,187,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill length 2,uni,yes,1983,no,no,no,0.28,23,0.043478261
Boag 1983 - Geospiza fortis,Boag 1983,188,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,wing length,uni,yes,1983,no,no,no,-0.1,23,0.043478261
Boag 1983 - Geospiza fortis,Boag 1983,189,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill depth,uni,yes,1983,no,no,no,-0.15,23,0.043478261
Boag 1983 - Geospiza fortis,Boag 1983,190,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill length 1,uni,yes,1983,no,no,no,-0.15,23,0.043478261
Boag 1983 - Geospiza fortis,Boag 1983,191,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,weight,uni,yes,1983,no,no,no,-0.15,23,0.043478261
Boag 1983 - Geospiza fortis,Boag 1983,192,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,tarsus length,uni,yes,1983,no,no,no,-0.26,23,0.043478261
Boag 1983 - Geospiza fortis,Boag 1983,193,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill width,uni,yes,1983,no,no,no,-0.32,23,0.043478261
Boag 1983 - Geospiza scandens,Boag 1983,194,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,weight,uni,yes,1983,no,no,no,0.24,16,0.0625
Boag 1983 - Geospiza scandens,Boag 1983,195,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,wing length,uni,yes,1983,no,no,no,0.19,16,0.0625
Boag 1983 - Geospiza scandens,Boag 1983,196,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill length 1,uni,yes,1983,no,no,no,0.13,16,0.0625
Boag 1983 - Geospiza scandens,Boag 1983,197,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill length 2,uni,yes,1983,no,no,no,0.09,16,0.0625
Boag 1983 - Geospiza scandens,Boag 1983,198,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill width,uni,yes,1983,no,no,no,0.02,16,0.0625
Boag 1983 - Geospiza scandens,Boag 1983,199,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill depth,uni,yes,1983,no,no,no,-0.04,16,0.0625
Boag 1983 - Geospiza scandens,Boag 1983,200,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,tarsus length,uni,yes,1983,no,no,no,-0.17,16,0.0625
Boag 1983 - Geospiza scandens,Boag 1983,201,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill depth,uni,yes,1983,no,no,no,0.3,11,0.090909091
Boag 1983 - Geospiza scandens,Boag 1983,202,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,wing length,uni,yes,1983,no,no,no,0.24,11,0.090909091
Boag 1983 - Geospiza scandens,Boag 1983,203,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill width,uni,yes,1983,no,no,no,0.16,11,0.090909091
Boag 1983 - Geospiza scandens,Boag 1983,204,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,tarsus length,uni,yes,1983,no,no,no,-0.15,11,0.090909091
Boag 1983 - Geospiza scandens,Boag 1983,205,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill length 2,uni,yes,1983,no,no,no,-0.17,11,0.090909091
Boag 1983 - Geospiza scandens,Boag 1983,206,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill length 1,uni,yes,1983,no,no,no,-0.42,11,0.090909091
Boag 1983 - Geospiza scandens,Boag 1983,207,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,weight,uni,yes,1983,no,no,no,-0.47,11,0.090909091
Boag 1983 - Geospiza scandens,Boag 1983,208,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,wing length,uni,yes,1983,no,no,no,0.49,20,0.05
Boag 1983 - Geospiza scandens,Boag 1983,209,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,tarsus length,uni,yes,1983,no,no,no,0.41,20,0.05
Boag 1983 - Geospiza scandens,Boag 1983,210,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill length 2,uni,yes,1983,no,no,no,-0.11,20,0.05
Boag 1983 - Geospiza scandens,Boag 1983,211,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill length 1,uni,yes,1983,no,no,no,-0.16,20,0.05
Boag 1983 - Geospiza scandens,Boag 1983,212,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill width,uni,yes,1983,no,no,no,-0.24,20,0.05
Boag 1983 - Geospiza scandens,Boag 1983,213,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,bill depth,uni,yes,1983,no,no,no,-0.32,20,0.05
Boag 1983 - Geospiza scandens,Boag 1983,214,Geospiza scandens,Geospiza_scandens_ott589959,Aves,Chordata,weight,uni,yes,1983,no,no,no,-0.39,20,0.05
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,215,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill width,uni,yes,1978,no,no,no,0.42,40,0.025
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,216,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,wing length,uni,yes,1978,no,no,no,0.37,21,0.047619048
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,217,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,tarsus length,uni,yes,1978,no,no,no,0.35,40,0.025
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,218,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill depth,uni,yes,1978,no,no,no,0.33,40,0.025
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,219,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill length,uni,yes,1978,no,no,no,0.31,40,0.025
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,220,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill width,uni,yes,1978,no,no,no,0.22,21,0.047619048
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,221,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill length,uni,yes,1978,no,no,no,0.21,21,0.047619048
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,222,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill depth,uni,yes,1978,no,no,no,0.16,21,0.047619048
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,223,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,weight,uni,yes,1978,no,no,no,0.16,40,0.025
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,224,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,weight,uni,yes,1978,no,no,no,0.16,21,0.047619048
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,225,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,tarsus length,uni,yes,1978,no,no,no,0.1,21,0.047619048
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,226,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill length at depth of 4mm,uni,yes,1978,no,no,no,0.02,21,0.047619048
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,227,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,wing length,uni,yes,1978,no,no,no,-0.09,40,0.025
Boag and Grant 1978 - Geospiza fortis,Boag and Grant 1978,228,Geospiza fortis,Geospiza_fortis_ott589951,Aves,Chordata,bill length at depth of 4mm,uni,yes,1978,no,no,no,-0.16,40,0.025
Boas 1903 - Homo sapiens,Boas 1903,229,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,relative sitting height,uni,yes,1903,yes,yes,yes,0.1,74,0.013513514
Boland et al. 2004 - Phaethon rubricauda,Boland et al. 2004,230,Phaethon rubricauda,Phaethon_rubricauda_ott509057,Aves,Chordata,longest tail streamer length,uni,yes,2004,no,no,no,0.4,20,0.05
Boland et al. 2004 - Phaethon rubricauda,Boland et al. 2004,231,Phaethon rubricauda,Phaethon_rubricauda_ott509057,Aves,Chordata,wing length,uni,yes,2004,no,no,no,0.38,15,0.066666667
Boland et al. 2004 - Phaethon rubricauda,Boland et al. 2004,232,Phaethon rubricauda,Phaethon_rubricauda_ott509057,Aves,Chordata,second tail streamer length,uni,yes,2004,no,no,no,0.13,20,0.05
Boland et al. 2004 - Phaethon rubricauda,Boland et al. 2004,233,Phaethon rubricauda,Phaethon_rubricauda_ott509057,Aves,Chordata,bill length,uni,yes,2004,no,no,no,0.09,15,0.066666667
Boland et al. 2004 - Phaethon rubricauda,Boland et al. 2004,234,Phaethon rubricauda,Phaethon_rubricauda_ott509057,Aves,Chordata,degree of asymmetry between two tail streamers,dimensionless,yes,2004,no,no,no,0.07,20,0.05
Boland et al. 2004 - Phaethon rubricauda,Boland et al. 2004,235,Phaethon rubricauda,Phaethon_rubricauda_ott509057,Aves,Chordata,bill depth,uni,yes,2004,no,no,no,0.05,15,0.066666667
Boll and Linsenmair 1998 - Alytes obstetricans,Boll and Linsenmair 1998,236,Alytes obstetricans,Alytes_obstetricans_obstetricans_ott233453,Amphibia,Chordata,snout-vent length,uni,yes,1998,yes,no,yes,0.5,24,0.041666667
Bollache and Cezilly 2004 - Gammarus pulex,Bollache and Cezilly 2004,237,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,2004,no,no,no,0.53,46,0.02173913
Bollache and Cezilly 2004 - Gammarus pulex,Bollache and Cezilly 2004,238,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,2004,no,no,no,0.3,66,0.015151515
Bollache and Cezilly 2004 - Gammarus pulex,Bollache and Cezilly 2004,239,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,2004,no,no,no,0.3,78,0.012820513
Bollache and Cezilly 2004 - Gammarus pulex,Bollache and Cezilly 2004,240,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,2004,no,no,no,0.13,66,0.015151515
Bollache and Cezilly 2004 - Gammarus pulex,Bollache and Cezilly 2004,241,Gammarus pulex,Gammarus_pulex_gallicus_ott1024016,Crustacea,Arthropoda,body length,uni,yes,2004,no,no,no,0.12,46,0.02173913
Bond et al. 2016 - Fratercula arctica,Bond et al. 2016,242,Fratercula arctica,Fratercula_arctica_grabae_ott5560393,Aves,Chordata,head + bill length,uni,yes,2016,yes,no,yes,0.32,37,0.027027027
Bond et al. 2016 - Fratercula arctica,Bond et al. 2016,243,Fratercula arctica,Fratercula_arctica_grabae_ott5560393,Aves,Chordata,culmen,uni,yes,2016,no,no,no,0.54,26,0.038461538
Bortolotti and Iko 1992 - Falco sparverius,Bortolotti and Iko 1992,244,Falco sparverius,Falco_sparverius_sparverius_ott775460,Aves,Chordata,PCA of six measures,dimensionless,yes,1992,no,no,no,0.07,37,0.027027027
Bortolotti and Iko 1992 - Falco sparverius,Bortolotti and Iko 1992,245,Falco sparverius,Falco_sparverius_sparverius_ott775460,Aves,Chordata,PCA of six measures,dimensionless,yes,1992,no,no,no,-0.17,54,0.018518519
Bortolotti and Iko 1992 - Falco sparverius,Bortolotti and Iko 1992,246,Falco sparverius,Falco_sparverius_sparverius_ott775460,Aves,Chordata,PCA of six measures,dimensionless,yes,1992,no,no,no,0.12,88,0.011363636
